@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'native american',UNT
'home youre drunk #maga #trump2020 oncoming_fist united_states oncoming_fist',TIN
'someone piece shit face_with_tears_of_joy',UNT
'liberals',TIN
'tough shit',UNT
'literally talking mass shootings propaganda used divide major issues control terror',TIN
'canada doesnt need another already enough #liberals great country',TIN
'lying corrupt traitor nobody wants hear anymore lies',TIN
'control kids',TIN
'throwing bullshit flag nonsense #kavanaugh #maga',TIN
'kind conservatives wanna everyone left communist antifa',TIN
'fuck going people theres room womens room pick stick thinking_fac',TIN
'days dont people general dont people days',TIN
'referring hillary know bernie supporters bashing hillary clinton actual democrat money democratic party doesnt bash positive message left',UNT
'thing democrats lying stop trump done #trump #kavanaugh #maga',TIN
'smart think keeps',TIN
'thats expected violent',TIN
'people basically racists voters vote conservatives',TIN
'fuck',TIN
'prison system fucked still getting away murder hurricane went miss',TIN
'useless right thing never follow',TIN
'trump doesnt white house',TIN
'trump butt',TIN
'dumb dumber presid',TIN
'clown prison',TIN
'that',TIN
'antiamerican running nothing maga',TIN
'mean worked control right',TIN
'drinking much shes',TIN
'tweet lick',TIN
'threat #maga #qanon #wakeupamerica',TIN
'please call trump sociopath',TIN
'fuck',TIN
'good los',TIN
'literally narrative nazis punch antifa punch sides groups wants wants prevent',UNT
'many dumb control dumbest common',TIN
'please dont kill antifa hand',TIN
'ugly black',TIN
'dont believe',UNT
'saved maga',TIN
'probably imagine snowflakes dont feel safe working might conservatives conservatives',TIN
'damn haters reason',TIN
'thats bitch',TIN
'part collusion dont',TIN
'reason illegal values black muslim reason believe illegal values simply result character support',TIN
'leftist democrats riot streets antifa',TIN
'antifa giving death threats professor ford threatening violence',TIN
'make days guilty proven innocent liberals',TIN
'game sucks bal',TIN
'absolutely nail coffin',TIN
'dumbass',TIN
'wanting control many wonder heck want taken away freedom',TIN
'point time dont think pres trump gives neith',TIN
'family country apology taking criminal white house father unfit making republic shame family justice',TIN
'carmen fricking cut',TIN
'crazy',TIN
'wants believe doesnt majority liberals leaders real losers #maga #trump',TIN
'california control result white people scared black panthers using right arms problem control',TIN
'millions holding people firearms didnt hurt anyone want stronger control idiots wonderful media hype agenda',TIN
