@relation Train
@attribute word_tokenize string
@attribute subtask_b {UNT,TIN}
@data
'nativ american',UNT
'home your drunk # maga # trump2020 oncoming_fist united_st oncoming_fist',TIN
'someon piec shit face_with_tears_of_joy',UNT
'liber',TIN
'tough shit',UNT
'liter talk mass shoot propaganda use divid major issu control terror',TIN
'canada doesnt need anoth alreadi enough # # liber great countri # #',TIN
'lie corrupt traitor nobodi want hear anymor lie #',TIN
'control kid ask',TIN
'throw bullshit flag nonsens # # kavanaugh # maga #',TIN
'kind conserv wan na associ everyon left communist antifa member',TIN
'fuck go peopl there men room women room pick stick thinking_fac',TIN
'day dont peopl gener dont connect peopl day annoy',TIN
'refer hillari know berni support bash hillari clinton actual democrat rais money democrat parti doesnt bash posit messag divid left',UNT
'thing democrat lie stall stop trump # presid done late # trump # kavanaugh # maga #',TIN
'smart think sentenc keep',TIN
'that expect violent # # woke',TIN
'peopl basic racist voter vote conserv',TIN
'fuck',TIN
'prison system fuck still get away murder intent prison hurrican went miss',TIN
'useless attempt right thing never follow',TIN
'trump doesnt white hous',TIN
'trump kick butt',TIN
'dumb dumber presid',TIN
'clown prison',TIN
'that',TIN
'antiamerican run noth maga',TIN
'mean work control right',TIN
'drink much koolaid she',TIN
'institut tweet behav window',TIN
'threat # maga # qanon # wakeupamerica',TIN
'pleas call trump narcissist sociopath',TIN
'fuck',TIN
'good loser',TIN
'liter narr nazi punch antifa punch side group want deport want prevent benefit',UNT
'mani dumb argument control dumbest common',TIN
'pleas dont kill antifa hand',TIN
'ugli black heart troll',TIN
'dont believ hype',UNT
'save maga',TIN
'probabl imagin snowflak dont feel safe work might conserv conserv centuri',TIN
'damn hater delet reason',TIN
'that bitch',TIN
'part collus dont',TIN
'reason illeg valu black muslim reason believ illeg valu simpli result charact support',TIN
'leftist democrat riot street antifa',TIN
'antifa give death threat professor ford threaten violenc candid lose impeach',TIN
'make alleg day guilti proven innoc liber mental',TIN
'game suck ball',TIN
'absolut nail coffin',TIN
'dumbass',TIN
'# want control mani wonder heck want freedom taken away select freedom',TIN
'point time dont think pre trump give neither',TIN
'famili countri apolog take crimin activ white hous line pocket father unfit make republ shame famili justic',TIN
'cute',TIN
'crazi mother',TIN
'# dem want believ doesnt major liber leader corrupt # obama # real loser # maga # trump',TIN
'california control direct result white peopl scare black panther use right arm problem control',TIN
'million hold peopl carri legal firearm didnt hurt anyon want stronger control idiot wonder media hype fit agenda',TIN
'hurt control freak',TIN
'bullshit regul good keep conserv land',TIN
'owner',TIN
'life # maga',TIN
'fuck',TIN
'confirm left wing activist liar who stori chang hard evid # innoc proven guilti # confirmkavanaugh # maga # # republican',TIN
'assum go answer # liber $ polici plan # wakeupamerica america futur vote republican america # dem moron # maga',TIN
'leftist show vile',TIN
'drunk crazi',TIN
'money made smarter',TIN
'yeah need made bullshit protestor antifa time',UNT
'dont move liber seem make shit hole larg citi somewher alreadi shit hole dont work',TIN
'shouldnt pussi grab wear handl # maga',TIN
'antifa doesnt beat chang mind know lost caus chang fascist mind scare hide stop spread hate ideolog forc view other',TIN
'# cloth conserv bigotri alway display respons trump',TIN
'truli idiot thing seen',UNT
'work want control popul australian control effect homicid',TIN
'liber ruin everyth',TIN
'that happen liber hold good place start control liber get gun',TIN
'look happi maga',TIN
'',TIN
'joke racist phoni right along racist phoni think follow second account block speak truth care less follow parti care',TIN
'moment citizen right afford citizen dont believ shit goe head',TIN
'look work histori list board lead servic ( ) come medicar local hell',UNT
'caus bitch play loudly_crying_fac loudly_crying_fac loudly_crying_fac loudly_crying_fac aint give gift noth',TIN
'come threaten kick dont ball',TIN
'get scare ugli',TIN
'bitch',UNT
'& amp & amp & amp & amp poverti & amp climat chang & amp global & amp & amp bulli & amp bodi shame & amp polic brutal & amp & amp control & amp march & amp protest',TIN
'bitch right get',UNT
'hahaha go make',TIN
'# maga # # trump2020 # tcot # # americafirst # patriot # bill clinton make behavior clear piec pain piec inde',TIN
'# maga peopl growth mean liter noth higher incom white individu billion goe compani govern job creat labour pay less live wage lmao',TIN
'watch hold interview shit lmao nigga',TIN
'bitch beat want',TIN
'pathet',TIN
'must talk hate conserv',TIN
'that correct # maga',TIN
'leftist wrong liber colleg student come corrupt woman determin destroy good judg want liber court',TIN
'great mark great great owen togeth team sent liber whole block liber voter head explod pant great team',TIN
'# # data # # # # govern # data',TIN
'wasnt propos scare tactic realli meant said trump easili pull good maga republican easili steal enough vote independ bring breath polit think',TIN
'liber support liber spent million liber elect offic #',TIN
'viciou bitter ‘ everyon access decent healthcar ‘ liber think crimin free reveal pretti mind',TIN
'fuck game watch',UNT
'liber trashi',TIN
'kept kept come back stupid answer final gave dont think polici stupid pleas',TIN
'anyth fuck head',TIN
'need know empti insid',TIN
'liber mental unstabl',TIN
'author search jean home racist drug test murder slander victim',TIN
'heard make wave',TIN
'# thursdaythought fuck liber forev',TIN
'proven control law disarm abid citizen crimin care law',TIN
'think give fuck',TIN
'fake vote want',TIN
'differ women american bomb',TIN
'russian agent disgrac creep go prison trump sold america russian time time year crime scumbag',TIN
'insan ridicul bullshit',UNT
'shouldnt surpris pig work antifa protestor local shit didnt cover investig',TIN
'american lazi vote liber mani liber vote throw vote away parti loser next question',TIN
'sure doesnt call commun privat secur bull though funni liber love privat polic',TIN
'wonder mani children molest',TIN
'england view control stop matter',TIN
'antifa parti & amp expect believ care anyon besid nope',TIN
'ouch ',UNT
'wonder apolog call “ show ” fire make face',TIN
'awesom kavanaugh didnt shake control hand sorri kill futur judg fault happen white peopl citi silli',TIN
'john spirit cook pedo here photo rather situat # maga # qanon # drainthedeepst # draintheswamp',TIN
'love piss liber',TIN
'correct',TIN
'turn speech sound liber becom anoth nasti parti person attack individu',TIN
'anoth neg democrat refus',TIN
'elect pleas explain still promot idea alreadi weve month noth appear move blind lead blind # #',TIN
'cant effect kill hope mention ladi witch known witch suprem',TIN
'( 2020 elect season ) trump dick dick leftist prove russian puppet trump dick conserv trump',TIN
'interest arent even enough creat cartoon origin republican liber koolaid alway liber scum earth prove daili lie',TIN
'want much liter tell obey',TIN
'dead well good must suck never mind cant even think move ahead alon twitter handl even face_with_rolling_ey face_with_rolling_ey',TIN
'decid your paid hang around qanon youll use',TIN
'trump sick toxic mean spirit',TIN
'# voter know right side issu control right answer help determin win reelect',TIN
'# # # crimin behav crimin # maga # # #',TIN
'full',TIN
'hell boycott much',TIN
'ball',UNT
'go hardcor bitch',TIN
'use monkey heart play wife hell',TIN
'think didnt call tri make bulli grinning_squinting_fac',TIN
'disgust disgust support break union #',TIN
'hope voter end well midterm',TIN
'2018 fuck cardi way catch',UNT
'think miss repli call ) anti muslim vet know disagre control seem',TIN
'look racist white liber freak said white',TIN
'even feed still boss',TIN
'realli # liber ruin everyth #',TIN
'never thought left actual admit want shut free speech unless least admit facist creat facist',TIN
'lmao know face_with_tears_of_joy that tri hard expos shit cant never relat anyway',TIN
'bullshit',UNT
'feel pretti fuck start fine',UNT
'aw',TIN
'dont know anyth although believ democrat fund alway think dem main terror group day antifa',TIN
'absolut useless everyon know except media',TIN
'anyon care say',TIN
'chanc hell start take lose whatev today # maga tire # win novemb # cant stop #',TIN
'hope catch',TIN
'hell',UNT
'# # # conserv # conserv # doesnt mean great power come great respons judici process your democraci',UNT
'thank pleas give kick butt conserv',TIN
'call',TIN
'she ‘ liber',TIN
'didnt fire',TIN
'student live shooter distract fear kill school alreadi best send school might action control hypocrit',TIN
'poor liber hope',TIN
'common sens follow',TIN
'sever alleg somebodi accus thing shit never end',TIN
'even devil make everi singl rape children pope refus condemn didnt remov leadership rapist brought',TIN
'didnt tweet twitter shit',TIN
'screw trump own scotu exact upon enemi midterm',TIN
'harm',TIN
'anyon write anyth suppos tomorrow say prophet human race need follow tell someon useless moron stop give attent brother nobodi',TIN
'cool blind idiot alreadi real thing religion thousand year peopl make fuck refer retard',UNT
'deliri ',TIN
'dumb bitch rude mexico',TIN
'owen attack antifa',TIN
'anoth dumbass democrat thing presid lazi anoth bullshit stori usual',TIN
'post world stop moment appreci',TIN
'democrat desper threaten collin anyth delay confirm reelect line desper & amp quit awar go',TIN
'move forward damn fact long keep narr danger line scale line bunch liber idiot conserv justifi action liber',TIN
'poor babi entir network trust peopl still watch brainwash liber demonrat',TIN
'( she clearli defens ) shit',TIN
'gon na',TIN
'book slander noth clown tool',TIN
'mani countri must address sensibl control enough vote blue garbag clean street',UNT
'appear pair must think',TIN
'mental unstabl',TIN
'charact clinton cartoon mayb',TIN
'arent around understand deni porn',TIN
'senat liar girl tell truth',TIN
'thought antifa actual fascist show actual fascist room',TIN
'left field violent feminist communist form antifa attack peac power year wonder occur guy doubt moral',TIN
'anyon surpris # # maga # qanon',TIN
'duck duck',TIN
'good liber allow rapist continu serv feder district court victim continu suffer said',TIN
'pretend someth phoni lie wont chang',TIN
'mock extrem fact dont sens stupid fault none mean motiv nativ american woman bigot',TIN
'say',TIN
'delusion liber hate cant even acknowledg',TIN
'better shit better anyth red_heart',UNT
'damn abl pussi',TIN
'exactli willi anyon half brain consid conserv liter poster child liber',TIN
'queen bitch relat',TIN
'wors lick',UNT
'liar go give judg credibl judg wont admit someth didnt stupid one liber shame ignor elect repres',TIN
'stupid problem conserv dont hate studi smart peopl ( smart peopl suck ) show data ( data ) fact ( # fakenew ) near turn somebodi # cdnpoli',UNT
'bitch',TIN
'fuck deal kill cunt',TIN
'care murder dont care home ( like whole american care said pair victim tri smear victim despic',TIN
'mouth say respect cop dont dirt bag break home control mean hand empti talk antifa buddi drain',TIN
'russian receiv much money putin',TIN
'well liber explain know shooter liber know liber hate violent peopl must defeat',TIN
'news give time that simpli wrong experi useless fool care one fool',TIN
'gave beto $ 100 well trump call wife ugli still lick help reelect',TIN
'threat # # maga',TIN
'liber imagin forc defend famili violenc imagin eventu beyond possibl believ polic quickli enough save',TIN
'borrow shit first rolling_on_the_floor_laugh',TIN
'bitch',TIN
'stfu bitch tryna twitter famou know',TIN
'100 % correct critic corrupt presid denounc',TIN
'turn night super sexi fire fire fire',TIN
'despic',TIN
'without question professor ford troubl that polit half women world ( probabl ) grope time dont hold year obvious polit scotu confirm # maga',TIN
'evil delusion eat high qualiti paint',TIN
'shut',TIN
'fuck',UNT
'total mental reelect',TIN
'exist read suck',TIN
'hook someon wipe butt',TIN
'good sure show face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'exactli true',TIN
'still wait mine',UNT
'sing didnt tell stop sing thank hell talk enough talk keep talk wonder famili think go nut',TIN
'think call talk side fuck mouth lindsey longer trust',TIN
'sound ignor word america stop resist help make nation best everyon liber wake walk away',TIN
'suck',TIN
'face_with_tears_of_joy face_with_tears_of_joy know seen bitch that lmao',TIN
'lefti pope true christian roman cathol fail',TIN
'honestli ridicul need',TIN
'littl known fact race race win right finish lost control run african local antifa whole thing blame',TIN
'true wouldnt even care law issu typic mental cage call anyth care',UNT
'night',TIN
'thing never chang # scotu # & amp # maga fight back lie # confirmkavanaugh # # kavanaugh # metoo',UNT
'bitch shut build self',TIN
