@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'home youre drunk #maga #trump2020 oncoming_fist united_states oncoming_fist',IND
'liberals',OTH
'literally talking mass shootings propaganda used divide major issues control terror',GRP
'canada doesnt need another already enough #liberals great country',IND
'lying corrupt traitor nobody wants hear anymore lies',IND
'control kids',OTH
'throwing bullshit flag nonsense #kavanaugh #maga',IND
'kind conservatives wanna everyone left communist antifa',GRP
'fuck going people theres room womens room pick stick thinking_fac',GRP
'days dont people general dont people days',IND
'thing democrats lying stop trump done #trump #kavanaugh #maga',GRP
'smart think keeps',IND
'thats expected violent',GRP
'people basically racists voters vote conservatives',GRP
'fuck',IND
'prison system fucked still getting away murder hurricane went miss',OTH
'useless right thing never follow',IND
'trump doesnt white house',IND
'trump butt',IND
'dumb dumber presid',IND
'clown prison',IND
'that',IND
'antiamerican running nothing maga',OTH
'mean worked control right',GRP
'drinking much shes',IND
'tweet lick',IND
'threat #maga #qanon #wakeupamerica',IND
'please call trump sociopath',IND
'fuck',GRP
'good los',IND
'many dumb control dumbest common',IND
'please dont kill antifa hand',IND
'ugly black',IND
'saved maga',IND
'probably imagine snowflakes dont feel safe working might conservatives conservatives',IND
'damn haters reason',GRP
'thats bitch',IND
'part collusion dont',IND
'reason illegal values black muslim reason believe illegal values simply result character support',GRP
'leftist democrats riot streets antifa',IND
'antifa giving death threats professor ford threatening violence',IND
'make days guilty proven innocent liberals',GRP
'game sucks bal',GRP
'absolutely nail coffin',IND
'dumbass',IND
'wanting control many wonder want taken away freedom',GRP
'point time dont think pres trump gives neith',IND
'family country apology taking criminal white house father unfit making shame family justice',IND
'carmen fricking cut',IND
'crazy',IND
'wants believe doesnt majority liberals leaders real losers #maga #trump',GRP
'california control result white people scared black panthers using right arms problem control',GRP
'millions holding people firearms didnt hurt anyone want stronger control idiots wonderful media hype agenda',GRP
'hurt control freak',GRP
'bullshit regulations good keeps conservatives land',GRP
'owner culo',IND
'life #maga',IND
'fuck',IND
'confirm left wing activist liar whos story hard evidence innocent proven guilty #confirmkavanaugh #maga',GRP
'going answer policy plan #wakeupamerica future vote republican america morons #maga',OTH
'leftists showing',GRP
'drunk crazi',IND
'money made smart',IND
'dont move liberals seem make shit cities somewhere already shit hole dont work',GRP
'shouldnt pussy wearing #maga',IND
'antifa doesnt beat change mind know lost cause change fascists mind scare hiding stop spread hateful ideology views',IND
'conservatives always responsible trump',GRP
'work want control population australian control effect',OTH
'liberals ruin everyth',GRP
'thats happens liberal hold good place start control liberals getting gun',GRP
'look happy maga',IND
'',IND
'joke racist phony right along racist phony thinks follow second account block speak truth care less followers party care',IND
'moment citizens rights citizens dont believe shit goes head',GRP
'cause bitches playing loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face aint give noth',GRP
'coming kick dont bal',IND
'getting scared ugli',IND
'&amp &amp &amp &amp poverty &amp change &amp &amp &amp bullying &amp body &amp police &amp &amp control &amp &amp protest',IND
'hahaha going mak',IND
'#maga #trump2020 #tcot #americafirst #patriots bill clinton make behavior clear piece piece',IND
'#maga people growth means literally nothing higher white goes government jobs create labour pays less living lmao',IND
'watch hold interview shit lmao nigga',IND
'bitch beat w',IND
'pathet',IND
'must talking hateful conserv',GRP
'thats correct #maga',IND
'leftist wrong liberal students come corrupt woman destroy good judge wants liberals court',IND
'great mark great great together team sent liberals whole block liberal voters heads pants great team',GRP
'#stratadata #data #hairball tdavis touring application #cognitive #machinelearning techniques speed #governance #data',GRP
'wasnt scare tactics really meant said trump easily pull good maga republicans easily steal enough votes bring breath politics think',IND
'liberal support liberal spent million liberals elected office',GRP
'vicious bitter access decent healthcare think criminals free pretty mind',GRP
'liberals',GRP
'kept kept coming back stupid finally gave dont think policies stupid pleas',IND
'anything fucked head',IND
'need know empty',IND
'liberals mentally',GRP
'search home racist drug test murder victim',IND
'heard making',IND
'#thursdaythoughts fuck liberals',GRP
'proven control laws disarm abiding citizens criminal care law',GRP
'thinks give fuck',IND
'fake vote wants',IND
'different women american bomb',OTH
'russian disgrace creep going prison trump sold america time time years crimes',IND
'shouldnt surprised pigs worked antifa protestors local shit didnt cover',GRP
'americans lazy vote liberal many liberals vote throw vote away party losers next',OTH
'sure doesnt call private security though funny liberals love',GRP
'wonder many children',IND
'england views control',IND
'antifa party &amp expect believe care anyone besides',OTH
'wonder calling fired making',IND
'awesome kavanaugh didnt control hand sorry killed future judges fault happened white people cities silli',GRP
'john pedo rather situation #maga #qanon #drainthedeepstate #draintheswamp',IND
'love liber',GRP
'correct',GRP
'turned speech liberals becoming another nasty party personal attacks',GRP
'another negative democrat refuses',IND
'elected please explain still promoting ideas already weve months nothing appears moving blind blind',GRP
'cant killed hope lady witch known witch',IND
'election trump dick dick leftists prove russian puppet trump dick conservatives trump',IND
'arent even enough create republicans liberals always liberals scum earth prove daily li',GRP
'want much literally tell obey',GRP
'dead well good must suck never mind cant even think move ahead alone twitter handle even face_with_rolling_eyes face_with_rolling_ey',IND
'decide youre paid around youll',GRP
'trump sick mean',IND
'voters know right side issue control rights answer help wins',GRP
'criminal #maga',IND
'full',IND
'hell much',IND
'going hardcore bitch',IND
'used heart played wife hel',IND
'think didnt called trying make bully grinning_squinting_fac',IND
'disgusting disgusting support',IND
'hopefully voters ended well midterm',GRP
'think missed anti muslim know disagree control seem',IND
'look racist white liberals freaking said white',GRP
'feed still boss',IND
'really liberals everything',GRP
'never thought left actually want shut free speech unless least create',GRP
'lmao knows face_with_tears_of_joy thats trying hard expose shits cant never anyway',IND
'aw',OTH
'dont know anything although believe democrats fund always think dems main terror group days antifa',GRP
'absolutely useless everyone knows except media',IND
'anyone care',IND
'chance hell start taking losing whatever today #maga tired #winning november cant stop',IND
'hopefully catch',IND
'thank please give kick butt conserv',IND
'call',IND
'shes liber',IND
'didnt fired',IND
'students live shooter fear killed school already best send schools might control hypocrit',IND
'poor liberals',GRP
'common sense follow',GRP
'several allegations somebody thing shit never ends',IND
'even devil make every single rape children pope refuse didnt remove leadership rapist brought',OTH
'didnt tweet twitter shit',IND
'screwed trump scotus exact upon enemies midterm',IND
'haul harms druggi',IND
'anyone write anything suppose tomorrow says prophet human race needs follow tell someone useless moron stop giving attention brother',IND
'deliri',IND
'dumb bitch mexico',IND
'attacked antifa',IND
'another dumbass democrat thing president lazy another bullshit story',GRP
'posts world moment',IND
'democrats desperate threatening collins anything delay confirmation line desperate &amp quite aware go',GRP
'forward damn facts long keep narrative dangerous line line bunch liberal idiots conservatives justify actions liber',GRP
'poor baby entire network trusted people still watching brainwashed liberals',GRP
'clearly shit',IND
'gonna',IND
'book nothing clown tool',IND
'appears must think',IND
'mentally',IND
'character clinton',IND
'arent around understand denying porn',IND
'senator liar girl tell truth',IND
'thought antifa actually fascists shows actual fascists room',GRP
'left violent communists form antifa attack power years wonder guys doubt moral',GRP
'anyone surprised #maga #qanon',OTH
'duck duck',IND
'good liberals allow rapist continue serving federal district court victim suffer said',IND
'pretending something phony lies wont',IND
'extremely fact dont sense stupid fault none means motives native american woman',IND
'saying',IND
'delusional liberals hate cant even',OTH
'damn able',IND
'exactly anyone half brain consider conservative literally poster child liber',IND
'queen bitches',IND
'liar going give judge credibility judge wont admit something didnt stupid ones liberals shame ignorance elected',IND
'bitch',IND
'deals kill cunt',IND
'care murdered dont care home whole americans care said victim trying smear victim',IND
'mouth saying respect cops dont dirt break home control means hand empty talk antifa',IND
'russian received much money putin',IND
'well liberal explains knows shooter liberal knows liberals hateful violent people must',GRP
'news giving time thats simply wrong experience useless fools cares ones fool',GRP
'gave beto well trump called wife ugly still help',IND
'threat #maga',OTH
'liberals imagine forced defend family violence imagine beyond believe police quickly enough',OTH
'shit first rolling_on_the_floor_laugh',IND
'bitch',IND
'stfu bitch tryna twitter famous know',IND
'100% correct corrupt president',GRP
'turn night super sexy fire fire fir',IND
'despic',IND
'without question professor ford thats half women world time dont hold years obviously political scotus confirmation #maga',IND
'evil delusional high quality',IND
'shut',IND
'total mental',IND
'existence reading suck',IND
'someone butt',IND
'good surely show face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',IND
'exactly true',GRP
'singing didnt tell stop singing hell talking enough talking keep talking wonder family think going nut',IND
'think called talking sides fucking mouth lindsey longer trust',IND
'sound ignorant words america stop help make nation best everyone liberals wake walk away',GRP
'suck',IND
'face_with_tears_of_joy face_with_tears_of_joy know seen bitch thats lmao',IND
'lefty pope true christian failed',IND
'honestly ridiculous ne',IND
'little known fact winning right lost control running local antifa whole thing',GRP
'night',IND
'bitch shut building self',IND
'#usa probably level yall #maga #mega #mbga #mcga #conservatives #patriots',GRP
'republicans going learn democrats hate conservatives vote',OTH
'isnt bitch antifa',IND
'certainly throwing control &amp illegal involved seeing shit hearing',IND
'proof hates exactly pres washington address hates constitution stands agenda maybe push socialism control',GRP
'beast',IND
'committed many crimes care liar belong prison #maga',IND
'people thought forever idiot',GRP
'fool',IND
'course liberals truth accept thats dont believe believe ellison',GRP
'nose new',IND
'thank conservatives letting blind sexual society make conservative',GRP
'stop',IND
'thinks others liberals remember famous never serious crisis',IND
'used liberals &amp racism &amp desperate',OTH
'apparently doesnt know bought went black ownership white rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laugh',IND
'abuse power cause losing mind',OTH
'gonna bitch',IND
'#maga united_st',IND
'ancient couldnt cock fighting literally illegal',GRP
'fucking',IND
'isnt great liberals ignore pain victims democrats really sick',IND
'cant losing literally whole',IND
'noticed broke away soon senate started talking great growth rate crooked negative conservatives liberals #drainthedeepstate',GRP
'absolute dick pouting_fac',IND
'well guess totally fine attack character mistake mean right american victim violence call control laws anyway',IND
'liberals understanding around agree completely fucked believed women years lets believe women screw legal system pigs',GRP
'obama must democrat thought pleas',GRP
'wouldnt surprise call conservatives fascists justify physically attacking trumps nazi kill matter time',IND
'idea nazis socialist complete inability reality mind antifa shit calling civil defend considered fascist',GRP
'times worst',OTH
'life sucks face_with_tears_of_joy going along criminal friends line lies tell never anything #maga #trump2020',IND
'lets kavanaugh bringing make argument hypocrisy irrelevant saying lets investigate liberals robbed',GRP
'smiling_face_with_hearteyes',IND
'shit right showed friends quite',OTH
'higher unemployment witch antifa communist shit hollywood decide feel',OTH
'everything issue live another country iran',GRP
'admit anything read tweet please rather good antifa nazis name self still thugs fighting freedom free free hate',GRP
'holder held contempt congress isnt prison fast furious murd',IND
'expose constitution violence &amp threats govt instead winning polls name domestic terrorists &amp jail',GRP
