@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'native americans',UNT
'home youre drunk #maga #trump2020 oncoming_fist United_States oncoming_fist',TIN
'someone piece shit face_with_tears_of_joy',UNT
'liberals',TIN
'tough shit',UNT
'literally talking mass shootings propaganda used divide major issues control terrorism',TIN
'canada doesnt need another already enough #liberals great country',TIN
'lying corrupt traitor nobody wants hear anymore lies',TIN
'control kids asking',TIN
'throwing bullshit flag nonsense #kavanaugh #maga',TIN
'kind conservatives wanna everyone left communist antifa members',TIN
'fuck going people theres room womens room pick stick thinking_face',TIN
'days dont people general dont people days',TIN
'referring hillary know bernie supporters bashing hillary clinton actual democrat money democratic party doesnt bash positive message left',UNT
'thing democrats lying stop trump done #trump #kavanaugh #maga',TIN
'smart think keeps',TIN
'thats expected violent',TIN
'people basically racists voters vote conservatives',TIN
'fuck',TIN
'prison system fucked still getting away murder hurricane went missing',TIN
'useless right thing never',TIN
'trump doesnt white house',TIN
'trump butt',TIN
'dumb dumber president',TIN
'clown prison',TIN
'thats',TIN
'antiamerican running nothing maga',TIN
'mean worked control right',TIN
'drinking much shes',TIN
'tweet',TIN
'threat #maga #qanon #wakeupamerica',TIN
'please call trump sociopath',TIN
'fuck',TIN
'good loser',TIN
'literally narrative nazis punch antifa punch sides groups wants wants prevent',UNT
'many dumb control dumbest common',TIN
'please dont kill antifa hand',TIN
'ugly black troll',TIN
'dont believe hype',UNT
'saved maga',TIN
'probably imagine snowflakes dont feel safe working might conservatives conservatives',TIN
'damn haters reason',TIN
'thats bitch',TIN
'part collusion dont',TIN
'reason illegal values black muslim reason believe illegal values simply result character supporters',TIN
'leftist democrats riot streets antifa',TIN
'antifa giving death threats professor ford threatening violence',TIN
'make days guilty proven innocent liberals mentally',TIN
'game sucks balls',TIN
'absolutely nail coffin',TIN
'dumbass',TIN
'wanting control many wonder heck want taken away',TIN
'point time dont think pres trump gives neither',TIN
'family country apology taking criminal white house father unfit making republic shame family justice',TIN
'cute',TIN
'crazy mother',TIN
'wants believe doesnt majority liberals leaders real losers #maga #trump',TIN
'california control result white people scared black panthers using right arms problem control',TIN
'millions holding people firearms didnt hurt anyone want stronger control idiots wonderful media hype agenda',TIN
'hurt control',TIN
'bullshit regulations good keeps conservatives land',TIN
'owner culo',TIN
'life #maga',TIN
'fucking',TIN
'confirm left wing activist liar whos story changes hard evidence innocent proven guilty #confirmkavanaugh #maga #republicans',TIN
'going answer policy plan #wakeupamerica future vote republican america morons #maga',TIN
'leftists showing vile',TIN
'drunk crazy',TIN
'money made smarter',TIN
'yeah need made bullshit protestors antifa time',UNT
'dont move liberals seem make shit cities somewhere already shit hole dont work',TIN
'shouldnt pussy wearing #maga',TIN
'antifa doesnt beat change mind know lost cause change fascists mind scare hiding stop spread hateful ideology views others',TIN
'conservatives always responsible trump',TIN
'truly idiotic thing seen',UNT
'work want control population australian control effect homicides',TIN
'liberals ruin everything',TIN
'thats happens liberal hold good place start control liberals getting guns',TIN
'look happy maga',TIN
'',TIN
'joke racist phony right along racist phony thinks follow second account block speak truth care less followers party care',TIN
'moment citizens rights citizens dont believe shit goes head',TIN
'looked work history board leading comes medicare local hell',UNT
'cause bitches playing loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face aint give nothing',TIN
'coming kick dont balls',TIN
'getting scared ugly',TIN
'bitch',UNT
'&amp &amp &amp &amp poverty &amp climate change &amp &amp &amp bullying &amp body &amp police &amp &amp control &amp &amp protests',TIN
'bitch right getting',UNT
'hahaha going make',TIN
'#maga #trump2020 #tcot #americafirst #patriots bill clinton make behavior clear piece piece indeed',TIN
'#maga people growth means literally nothing higher white goes government jobs create labour pays less living lmao',TIN
'watch hold interview shit lmao nigga',TIN
'bitch beat wants',TIN
'pathetic',TIN
'must talking hateful conservatives',TIN
'thats correct #maga',TIN
'leftist wrong liberal students come corrupt woman destroy good judge wants liberals',TIN
