@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'native american',OFF
'home youre drunk #maga #trump2020 oncoming_fist united_states oncoming_fist',OFF
'amazon chinese employees selling data looking edge competitive #maga #kag #china #tcot',NOT
'someone piece shit face_with_tears_of_joy',OFF
'obama wanted liberals &amp illegals move st',NOT
'liberals',OFF
'tough shit',OFF
'literally talking mass shootings propaganda used divide major issues control terror',OFF
'icecream',NOT
'canada doesnt need another already enough #liberals great country',OFF
'fault support control',NOT
'whats difference #kavanaugh admitted groping year girl years going #redwave #trumptrain #maga',NOT
'lying corrupt traitor nobody wants hear anymore lies',OFF
'scare every american playing warped',NOT
'board',NOT
'king',NOT
'#maga musical_notes listening heart_suit love youve never hurt vote watching hearnoevil_monkey dont listen liberals dirt',NOT
'time right house respond concerns canadians four five canadians support stronger control good #guncontrol #cdnpoli',NOT
'besides maybe hands favorite good person show face_with_tears_of_joy',NOT
'control kids ask',OFF
'throwing bullshit flag nonsense #kavanaugh #maga',OFF
'correct',NOT
'kind conservatives wanna everyone left communist antifa memb',OFF
'fuck going people theres mens room womens room pick stick thinking_fac',OFF
'willie holding rally beto exactly fans furious give',NOT
'days dont people general dont connect people days',OFF
'south official discuss specific measures #tcot #maga #rednationris',NOT
'tell',NOT
'feel better chasing',NOT
'referring hillary know bernie supporters bashing hillary clinton actual democrat money democratic party doesnt bash positive message left',OFF
'glad friends supporting rights much supporting',NOT
'asking movie man_shrugging ey',NOT
'thing democrats lying stop trump done lately #trump #kavanaugh #maga',OFF
'wonder',NOT
'ending blatant #racism &amp proves #politicslive',NOT
'know whats going happen going listen kelly thanks free speech antifa',NOT
'smart think keeps',OFF
'thats expected violent #kavanaughconfirmation',OFF
'blow hard',NOT
'means twitter maybe gam',NOT
'please explain controlled opposition means bernier split rest conservatives even racist w',NOT
'socialists politics stand well done criticism israel anti part problem',NOT
'nina reasons didnt read book long worried character shouldve trusted everyone nina goddess thousand times lovely perfect perfect',NOT
'please vote kavanaugh scotus allegations women disqualify matters #metoo #stopkavanaugh',NOT
'racist racist racist repeat',NOT
'love great president trump steel changing trade &amp everything americans #americafirst #usa #maga &amp #trump &amp grinning_face statue_of_liberty statue_of_liberty statue_of_liberty grinning_fac',NOT
'liberals really dont sense',NOT
'fucking',NOT
'holy catholic people havent',NOT
'yeah everyday horse care unless example',NOT
'surprise antifa soros americas worst enemy history believes right happen',NOT
'best pretti',NOT
'look involved violent left agenda antifa',NOT
'every come basically stealing ideas vot',NOT
'british people basically racists voters vote conservatives',OFF
'#guncontrol advocates must stop falling electorate love',NOT
'love huge alright used tweet',NOT
'fuck',OFF
'certainly weird view toward philosophy minorities know black population opinion',NOT
'prison system fucked still getting away potentially murder intent hurricane went miss',OFF
'useless attempts right thing never follow',OFF
'#walkaway party',NOT
'grateful trump doesnt white house',OFF
'lying stick fact',NOT
'trump butt',OFF
'dumb dumber presid',OFF
'minister attempted',NOT
'straight dance talk free industry really quality even artist love thumbs_up',NOT
'clown prison',OFF
'twitter silence alex jones asking twitter jack quest',NOT
'that',OFF
'antiamerican running nothing maga',OFF
'youre represent leftist view similar words fascist fascism ahead &amp read book know eith',NOT
'remember somehow centrist never quite seem bring condemn th',NOT
'mean worked control right',OFF
'think last thing trumps mind ryan needs stop shes important think',NOT
'principled conservatives',NOT
'dont forget &amp democrat backed #antifa',NOT
'beautiful person teach values kids teaching keep keep going heads stay real red_heart',NOT
'bring antifa criminal campaign',NOT
'didnt watch watch watching 11th stories came together stood shoulder shoulder made proud even issues people playing damn game stand saturday',NOT
'tear made water feel',NOT
'trump addresses control representing say',NOT
'drinking much shes',OFF
'holder needs prosecut',NOT
'players women women color',NOT
'tweet window lick',OFF
'think “she three dont dont know dont',NOT
'well',NOT
'threat #maga #qanon #wakeupamerica',OFF
'easily content theres need even understand story show picture antifa base level emotional response content requires order profit',NOT
'looking plain democrats liberals ones cant',NOT
'great news went face_with_tears_of_joy',NOT
'extra',NOT
'please call trump narcissistic sociopath',OFF
'unfortunately america system called racist liberals believe racist minority group',NOT
'know still wondering career loved',NOT
'always',NOT
'babi',NOT
'persuas',NOT
'thats nothing going vote vote liberals novemb',NOT
'burt cool dud',NOT
'#maga #trump follow follow back',NOT
'thank finally point okay using happi',NOT
'kind trump tim',NOT
'former antifa white house arrest citizen arrest someone explain',NOT
'fuck',OFF
'good los',OFF
'lets bottom check back make sure enjoying best offer asap',NOT
'record know doug jones personally credible choice wont next elect',NOT
'presidents feelings totally opposite feelings theyre liber',NOT
'literally narrative nazis punch antifa punch sides groups wants deport jews wants prevent comparison benefits',OFF
'many dumb arguments control dumbest common',OFF
'whats go',NOT
'yall need chill really abysmal half abysmal half baseball happens things still needs work power numbers dropped back',NOT
'dude lmao pack',NOT
'thats trump supporters cant even wear without abused meet animals left attack antifa democrat parti',NOT
'laughs gotten enough',NOT
'well',NOT
'first dont even pizza',NOT
'please dont kill antifa hand',OFF
'100% healthy game obviously excuses youre maybe “all sort thing seemed game maybe still pretty good',NOT
'good girl',NOT
'ugly black trol',OFF
'clearly master almost rare candy alone legacy depends keep pieces value gam',NOT
'dont believe',OFF
'followed maga please follow back',NOT
'reported except says getting worse even type #maga #mega #mbga #mcga #conservatives #patriots #muslims #leftists lose soon',NOT
'liberals still vote theyll claim comments taken context still',NOT
'saved maga',OFF
'bringing honor decency picture thats rich',NOT
'good',NOT
'goddess',NOT
'worst best case best made part asking dead hurts poor thing rest nope suffering dead yeah pretty dead',NOT
'probably imagine snowflakes dont feel safe working might conservatives conservatives',OFF
'light even last election conservatives split coming tory soon',NOT
'crying_face damn haters reason',OFF
'think canadian liberals actually blame trudeau costs standard push',NOT
'warned everyone josh gordon last months daily basis sure shocked today',NOT
'cant liberals read read',NOT
'thats bitch',OFF
'discuss',NOT
'part collusion dont',OFF
'face_with_tears_of_joy',NOT
'amazing yellow_heart yellow_heart yellow_heart',NOT
'fist pump troop',NOT
'reason illegal values black muslim reason believe illegal values simply result character support',OFF
'leftist democrats riot streets antifa',OFF
'thought canada strict control help understand happen',NOT
'dont want following people dont conservatives sickening biased management',NOT
'life',NOT
'important midterms word #democrats want people color believe support know false word spread even need know #maga',NOT
'antifa giving death threats professor ford threatening violence candidate impeach',OFF
'seen listened antifa p',NOT
'case antifa little something good kind th',NOT
'scare littl',NOT
'middle africa good bloody luck',NOT
