@relation Train
@attribute word_tokenize string
@attribute subtask_c {IND,OTH,GRP}
@data
'home your drunk # maga # trump2020 oncoming_fist united_st oncoming_fist',IND
'liber',OTH
'liter talk mass shoot propaganda use divid major issu control terror',GRP
'canada doesnt need anoth alreadi enough # # liber great countri # #',IND
'lie corrupt traitor nobodi want hear anymor lie #',IND
'control kid ask',OTH
'throw bullshit flag nonsens # # kavanaugh # maga #',IND
'kind conserv wan na associ everyon left communist antifa member',GRP
'fuck go peopl there men room women room pick stick thinking_fac',GRP
'day dont peopl gener dont connect peopl day annoy',IND
'thing democrat lie stall stop trump # presid done late # trump # kavanaugh # maga #',GRP
'smart think sentenc keep',IND
'that expect violent # # woke',GRP
'peopl basic racist voter vote conserv',GRP
'fuck',IND
'prison system fuck still get away murder intent prison hurrican went miss',OTH
'useless attempt right thing never follow',IND
'trump doesnt white hous',IND
'trump kick butt',IND
'dumb dumber presid',IND
'clown prison',IND
'that',IND
'antiamerican run noth maga',OTH
'mean work control right',GRP
'drink much koolaid she',IND
'tweet behav window',IND
'threat # maga # qanon # wakeupamerica',IND
'pleas call trump narcissist sociopath',IND
'fuck',GRP
'good loser',IND
'mani dumb argument control dumbest common',IND
'pleas dont kill antifa hand',IND
'ugli black heart troll',IND
'save maga',IND
'probabl imagin snowflak dont feel safe work might conserv conserv centuri',IND
'damn hater delet reason',GRP
'that bitch',IND
'part collus dont',IND
'reason illeg valu black muslim reason believ illeg valu simpli result charact support',GRP
'leftist democrat riot street antifa',IND
'antifa give death threat professor ford threaten violenc candid lose impeach',IND
'make alleg day guilti proven innoc liber mental',GRP
'game suck ball',GRP
'absolut nail coffin',IND
'dumbass',IND
'# want control mani wonder want freedom taken away select freedom',GRP
'point time dont think pre trump give neither',IND
'famili countri apolog take crimin activ white hous line pocket father unfit make republ shame famili justic',IND
'cute',IND
'crazi mother',IND
'# dem want believ doesnt major liber leader corrupt # obama # real loser # maga # trump',GRP
'california control direct result white peopl scare black panther use right arm problem control',GRP
'million hold peopl carri legal firearm didnt hurt anyon want stronger control idiot wonder media hype fit agenda',GRP
'hurt control freak',GRP
'bullshit regul good keep conserv land',GRP
'owner',IND
'life # maga',IND
'fuck',IND
'confirm left wing activist liar who stori chang hard evid # innoc proven guilti # confirmkavanaugh # maga # # republican',GRP
'assum go answer # liber $ polici plan # wakeupamerica america futur vote republican america # dem moron # maga',OTH
'leftist show vile',GRP
'drunk crazi',IND
'money made smarter',IND
'dont move liber seem make shit hole larg citi somewher alreadi shit hole dont work',GRP
'shouldnt pussi grab wear handl # maga',IND
'antifa doesnt beat chang mind know lost caus chang fascist mind scare hide stop spread hate ideolog forc view other',IND
'# cloth conserv bigotri alway display respons trump',GRP
'work want control popul australian control effect homicid',OTH
'liber ruin everyth',GRP
'that happen liber hold good place start control liber get gun',GRP
'look happi maga',IND
'',IND
'joke racist phoni right along racist phoni think follow second account block speak truth care less follow parti care',IND
'moment citizen right afford citizen dont believ shit goe head',GRP
'caus bitch play loudly_crying_fac loudly_crying_fac loudly_crying_fac loudly_crying_fac aint give gift noth',GRP
'come threaten kick dont ball',IND
'get scare ugli',IND
'& amp & amp & amp & amp poverti & amp chang & amp & amp & amp bulli & amp bodi shame & amp polic brutal & amp & amp control & amp march & amp protest',IND
'hahaha go make',IND
'# maga # # trump2020 # tcot # # americafirst # patriot # bill clinton make behavior clear piec pain piec inde',IND
'# maga peopl growth mean liter noth higher white individu billion goe compani govern job creat labour pay less live wage lmao',IND
'watch hold interview shit lmao nigga',IND
'bitch beat want',IND
'pathet',IND
'must talk hate conserv',GRP
'that correct # maga',IND
'leftist wrong liber colleg student come corrupt woman determin destroy good judg want liber court',IND
'great mark great great owen togeth team sent liber whole block liber voter head explod pant great team',GRP
'# # # # # # govern #',GRP
'wasnt propos scare tactic realli meant said trump easili pull good maga republican easili steal enough vote independ bring breath polit think',IND
'liber support liber spent million liber elect offic #',GRP
'viciou bitter ‘ everyon access decent healthcar ‘ liber think crimin free reveal pretti mind',GRP
'liber trashi',GRP
'kept kept come back stupid answer final gave dont think polici stupid pleas',IND
'anyth fuck head',IND
'need know empti insid',IND
'liber mental unstabl',GRP
'author search jean home racist drug test murder slander victim',IND
'heard make wave',IND
'# thursdaythought fuck liber forev',GRP
'proven control law disarm abid citizen crimin care law',GRP
'think give fuck',IND
'fake vote want',IND
'differ women american bomb',OTH
'russian agent disgrac creep go prison trump sold america russian time time year crime scumbag',IND
'shouldnt surpris pig work antifa protestor local shit didnt cover investig',GRP
'american lazi vote liber mani liber vote throw vote away parti loser next question',OTH
'sure doesnt call commun privat secur bull though funni liber love privat polic',GRP
'wonder mani children molest',IND
'england view control stop matter',IND
'antifa parti & amp expect believ care anyon besid nope',OTH
'wonder apolog call “ show ” fire make face',IND
'awesom kavanaugh didnt control hand sorri kill futur judg fault happen white peopl citi silli',GRP
'john spirit cook pedo photo rather situat # maga # qanon # drainthedeepst # draintheswamp',IND
'love piss liber',GRP
'correct',GRP
'turn speech sound liber becom anoth nasti parti person attack individu',GRP
'anoth neg democrat refus',IND
'elect pleas explain still promot idea alreadi weve month noth appear move blind lead blind # #',GRP
'cant effect kill hope mention ladi witch known witch suprem',IND
'( 2020 elect season ) trump dick dick leftist prove russian puppet trump dick conserv trump',IND
'interest arent even enough creat cartoon origin republican liber koolaid alway liber scum earth prove daili lie',GRP
'want much liter tell obey',GRP
'dead well good must suck never mind cant even think move ahead alon twitter handl even face_with_rolling_ey face_with_rolling_ey',IND
'decid your paid hang around qanon youll use',GRP
'trump sick toxic mean spirit',IND
'# voter know right side issu control right answer help determin win reelect',GRP
'# # # crimin behav crimin # maga # # #',IND
'full',IND
'hell much',IND
'go hardcor bitch',IND
'use monkey heart play wife hell',IND
'think didnt call tri make bulli grinning_squinting_fac',IND
'disgust disgust support break union #',IND
'hope voter end well midterm',GRP
'think miss repli call ) anti muslim vet know disagre control seem',IND
'look racist white liber freak said white',GRP
'even feed still boss',IND
'realli # liber ruin everyth #',GRP
'never thought left actual admit want shut free speech unless least admit creat',GRP
'lmao know face_with_tears_of_joy that tri hard expos shit cant never relat anyway',IND
'aw',OTH
'dont know anyth although believ democrat fund alway think dem main terror group day antifa',GRP
'absolut useless everyon know except media',IND
'anyon care say',IND
'chanc hell start take lose whatev today # maga tire # win novemb # cant stop #',IND
'hope catch',IND
'thank pleas give kick butt conserv',IND
'call',IND
'she ‘ liber',IND
'didnt fire',IND
'student live shooter distract fear kill school alreadi best send school might action control hypocrit',IND
'poor liber hope',GRP
'common sens follow',GRP
'sever alleg somebodi accus thing shit never end',IND
'even devil make everi singl rape children pope refus condemn didnt remov leadership rapist brought',OTH
'didnt tweet twitter shit',IND
'screw trump own scotu exact upon enemi midterm',IND
'harm',IND
'anyon write anyth suppos tomorrow say prophet human race need follow tell someon useless moron stop give attent brother nobodi',IND
'deliri ',IND
'dumb bitch rude mexico',IND
'owen attack antifa',IND
'anoth dumbass democrat thing presid lazi anoth bullshit stori usual',GRP
'post world stop moment appreci',IND
'democrat desper threaten collin anyth delay confirm reelect line desper & amp quit awar go',GRP
'move forward damn fact long keep narr danger line scale line bunch liber idiot conserv justifi action liber',GRP
'poor babi entir network trust peopl still watch brainwash liber demonrat',GRP
'( she clearli defens ) shit',IND
'gon na',IND
'book slander noth clown tool',IND
'appear pair must think',IND
'mental unstabl',IND
'charact clinton cartoon mayb',IND
'arent around understand deni porn',IND
'senat liar girl tell truth',IND
'thought antifa actual fascist show actual fascist room',GRP
'left field violent feminist communist form antifa attack peac power year wonder occur guy doubt moral',GRP
'anyon surpris # # maga # qanon',OTH
'duck duck',IND
'good liber allow rapist continu serv feder district court victim continu suffer said',IND
'pretend someth phoni lie wont chang',IND
'mock extrem fact dont sens stupid fault none mean motiv nativ american woman bigot',IND
'say',IND
'delusion liber hate cant even acknowledg',OTH
'damn abl pussi',IND
'exactli willi anyon half brain consid conserv liter poster child liber',IND
'queen bitch relat',IND
'liar go give judg credibl judg wont admit someth didnt stupid one liber shame ignor elect repres',IND
'bitch',IND
'fuck deal kill cunt',IND
'care murder dont care home ( like whole american care said pair victim tri smear victim despic',IND
'mouth say respect cop dont dirt bag break home control mean hand empti talk antifa buddi',IND
'russian receiv much money putin',IND
'well liber explain know shooter liber know liber hate violent peopl must defeat',GRP
'news give time that simpli wrong experi useless fool care one fool',GRP
'gave beto $ 100 well trump call wife ugli still lick help reelect',IND
'threat # # maga',OTH
'liber imagin forc defend famili violenc imagin eventu beyond possibl believ polic quickli enough save',OTH
'borrow shit first rolling_on_the_floor_laugh',IND
'bitch',IND
'stfu bitch tryna twitter famou know',IND
'100 % correct critic corrupt presid denounc',GRP
'turn night super sexi fire fire fire',IND
'despic',IND
'without question professor ford troubl that polit half women world ( probabl ) grope time dont hold year obvious polit scotu confirm # maga',IND
'evil delusion eat high qualiti paint',IND
'shut',IND
'total mental reelect',IND
'exist read suck',IND
'hook someon wipe butt',IND
'good sure show face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',IND
'exactli true',GRP
'sing didnt tell stop sing thank hell talk enough talk keep talk wonder famili think go nut',IND
'think call talk side fuck mouth lindsey longer trust',IND
'sound ignor word america stop resist help make nation best everyon liber wake walk away',GRP
'suck',IND
'face_with_tears_of_joy face_with_tears_of_joy know seen bitch that lmao',IND
'lefti pope true christian cathol fail',IND
'honestli ridicul need',IND
'littl known fact race race win right finish lost control run african local antifa whole thing blame',GRP
'night',IND
'bitch shut build self',IND
'# usa probabl # europ # level intellig yall # maga # mega # mbga # mcga # conserv # patriot # celebr',GRP
'republican go learn democrat hate conserv vote',OTH
'isnt bitch antifa',IND
'certainli throw control & amp account window illeg involv see shit hear voic',IND
'proof hate exactli pre washington warn address hate constitut stand agenda mayb push social control',GRP
'beast',IND
'commit mani crime care liar belong prison # maga',IND
'peopl thought forev idiot',GRP
'fool hill',IND
'cours liber truth accept that dont believ believ ellison',GRP
'nose distract news',IND
'thank conserv let blind sexual societi centuri make conserv caus',GRP
'stop jump',IND
'think other liber rememb famou “ you never seriou crisi wast ”',IND
'use liber & amp racism & amp desper #',OTH
'appar doesnt know bought went black ownership white rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh rolling_on_the_floor_laugh',IND
'desper abus power caus lose mind',OTH
'gon na bitch',IND
'she s s # maga united_st',IND
'ancient couldnt cock cock fight liter illeg',GRP
'fuck delusion',IND
'isnt great liber ignor pain victim democrat realli sick',IND
'cant lose liter whole offens',IND
'notic broke away soon senat start talk great growth rate salari increas crook neg conserv liber # drainthedeepst #',GRP
'absolut dick pouting_fac',IND
'well guess total fine attack charact mistak mean right american victim violenc call control law anyway',IND
'liber emot understand around condemn agre complet fuck ration “ nobodi believ women year let believ women screw legal system pig guilti ”',GRP
'obama must democrat thought pleas',GRP
'wouldnt surpris fals call conserv fascist justifi physic attack trump nazi kill matter time suggest',IND
'idea nazi socialist complet inabl realiti mind blow antifa shit call civil defend consid fascist',GRP
'time worst',OTH
'life suck # face_with_tears_of_joy go along crimin friend line cross lie tell never anyth snake # maga # trump2020 #',IND
'let kavanaugh bring case make argument hypocrisi irrelev say let investig bank liber rob bank',GRP
'# smiling_face_with_heartey',IND
'shit right show friend quit trigger',OTH
'higher unemploy witch hunt lynch antifa communist shit hollywood decid feel',OTH
'everyth issu live anoth countri iran',GRP
'admit anyth read tweet pleas rather good antifa nazi name self still thug fight freedom free free hate',GRP
'holder held contempt congress isnt prison fast furiou murder',IND
'expos demon violat constitut violenc & amp threat govt instead win poll name domest terrorist & amp jail',GRP
'grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat control stupid child go chang peopl case stupid give firearm free speech right govern fuck',IND
'republican platform away healthcar harm environ away children away women right believ rule voter away social secur limit control explod budget #',OTH
'mayb talk doubl standard liber conserv somebodi alway victim',GRP
'# qanon # maga think noth happen',IND
'attorney ‘ help kavanaugh sexual abus charg back day cant proven & amp name wit deni # pathet # confirmkavanaugh # # # maga # # trump2020 #',GRP
'fuck',IND
'buy pussi bitch tri love',GRP
'thank obama everi soldier crazi life support work trump wrong label veteran mean control',IND
'suffer fool seen enough shit last live',OTH
'conserv cathol hypocrit',OTH
'suck',OTH
'well page replac say everyon need chicken',IND
'believ woman person shit show experi werent true stand ford',IND
'communist democrat socialist human',GRP
'piss popul actual support footbal shock number took nose shock',IND
'caus',IND
'peopl get shot kick place conserv # maga # walkaway # confirmkavanaugh',GRP
'yeah control polici jean compani beyond trump hard almost enough snowflak claim dislik hard tell part',GRP
'# right thing conserv power democrat miser human sick tire tantrum democrat freak lost elect pleas reason',GRP
'# # leader # proud allow come right your insan # trudeau # liber # # canada #',OTH
'need chang act spoil child throw tantrum show world sore loser nation isnt great anyon view',IND
'revers import issu mental health mental health control great liar proven & amp worship away that right',IND
'quick kill thank antifa',IND
'idiot comment disgrac',IND
'suck',IND
'side promis wall anyon believ anyth promis',IND
'fair posit liber cell',GRP
'disgust hypocrit',IND
'well allow still protest stop group realli hitler earli time nazi parti group known beat politician peopl didnt agre ( sound smell antifa )',GRP
'# nope time gone wrong # book first tweet book liber trump american dont known worst',GRP
'say relat control polic depart prosecut famili time limit access weapon polic depart acknowledg wrong correct dont deserv access weapon',OTH
'want control corpor american dont stand cop assassin black american cop enemi american that want kill black america thank',GRP
'bitch complain corpor lobbi lmaooo',IND
'shit today made want polit earli who respons word',IND
'fuck bitch decid gone',IND
'# liber straw #',GRP
'funni human right abort settl lie deceiv',IND
'clearli racist anti citizen allow conserv never serious dont start fair',OTH
'kavanaugh confirm sexual sit suprem court conserv nomin republican democrat women scotu republican pervert # # #',GRP
'liber shame justifi mean',GRP
'come worri straw clean fail shitti know',IND
'popular side doesnt win side fact privat school much better educ student public school public school teacher dont deserv privat school teacher',GRP
'fuck',OTH
'suppos think liber attack your anoth hypocrit',IND
'great american patriot dreg societi delusion blow biden disgrac america',IND
'joke anoth dirti trick democrat georg soro democrat parti know shame # maga',GRP
'actual report fuck',IND
'shit anyway',IND
'world countri bullshit dont bullshit problem fuck fuck dipshit prevent sensibl control',GRP
'right lefti ( ) liber troubl paper proper journalist ethic funni grinning_squinting_fac grinning_squinting_fac grinning_squinting_fac highest funni communist past ( ) grinning_squinting_fac grinning_squinting_fac grinning_squinting_fac',GRP
'great control take hand girl',IND
'never guess play game ) free time weird jump foot',IND
'back canada freak',IND
'agre forc adult meme choic individu develop enough mean',GRP
'doesnt team stay that success outsid threat',IND
'nike lost $ billion name face “ bullshit',OTH
'googl hell',OTH
'sadli wors exampl good christian',IND
'work texa paid soro cartel cruz beto danger person anoth sheepl',IND
'want kiss',IND
'beto want open border illeg come pleas control weapon #',GRP
'absolut point debat liber parti left noth hate side trump creat world peac societi liber still resist reason hatr',GRP
'hope ‘ smarter mayb',IND
'100 % agre trump surpris mani liber talk cute crimin',IND
'# call trump support dreg societi # biden organ coup # steal peopl leav countri search job # maga # potu #',IND
'destroy excus beat time bullshit love',IND
'lie spread liber known hell',GRP
'she she push control assassin',IND
'listen kid shit break heart',OTH
'delusion idiot traitor',IND
'mother left goe antifa ralli celebr',GRP
'head bout shit',IND
'complet utter wast time liber',GRP
'blame trump corrupt exist decad typic democrat',IND
'nigga ad',IND
'right bastard liter everywher left antifa support counter balanc',GRP
'terribl person probabl rape peopl human book noth field play dont person',IND
'idiot fuck peopl',IND
'start tweet pussi shit',IND
'weak realli beat',IND
'bird ',IND
'name dog fuck clue',IND
'mani arrest taken place socialist media cover cours come arrest make socialist head explod wwg1wga maga swamp build wall',GRP
'least smart enough trump smart enough know cant hurt trump hurt trump idiot',IND
'holi shit peopl pleas dead program somewher keep around watch',OTH
'poor liber',IND
'tell bodi count refus woman fuck',IND
'dumbass realli think hell last loudly_crying_fac',GRP
'realiz fool make weird obsess # mayb research spout nonsens',IND
'liber today differ classic liber liber today gone left your buri head think & amp classic lib trump authoritarian peopl want & amp kill',IND
'violenc toward trump support list target antifa',GRP
'aint nobodi bitter women know worth spend life somebodi actual live becom best look cute alway',GRP
'word talk actual shoot mean control',GRP
'wit protect wish mobil phone call share escap #',IND
'need ladi spread pussi smiling_face_with_heartey',IND
'realli think work go tell wife go hell',IND
'still',OTH
'antifa democrat gon na novemb final nail coffin trust fund fakenew',IND
'good bitch hood miss face_with_tears_of_joy crazi thing say smoke hous use everyday',IND
'california lot worthless control law alreadi control work crazi peopl dont obey',IND
'bitch post hope better soon',IND
