@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'native americans',OFF
'home youre drunk #maga #trump2020 oncoming_fist united_states oncoming_fist',OFF
'amazon chinese employees selling data looking edge competitive #maga #kag #china #tcot',NOT
'someone piece shit face_with_tears_of_joy',OFF
'obama wanted liberals &amp illegals move states',NOT
'liberals',OFF
'tough shit',OFF
'literally talking mass shootings propaganda used divide major issues control terrorism',OFF
'icecream',NOT
'canada doesnt need another already enough #liberals great country',OFF
'fault support control',NOT
'whats difference #kavanaugh admitted groping year girl years going #redwave #trumptrain #maga',NOT
'lying corrupt traitor nobody wants hear anymore lies #deepstatecorruption',OFF
'scare every american playing warped',NOT
'soda boarders',NOT
'king taste',NOT
'#maga musical_notes sing listening heart_suit love youve never hurt vote watching hearnoevil_monkey dont listen liberals dirt',NOT
'time right house respond concerns canadians four five canadians support stronger control good #guncontrol #cdnpoli',NOT
'besides maybe hands favorite good person show face_with_tears_of_joy',NOT
'control kids asking',OFF
'throwing bullshit flag nonsense #kavanaugh #maga',OFF
'correct',NOT
'kind conservatives wanna everyone left communist antifa members',OFF
'fuck going people theres mens room womens room pick stick thinking_face',OFF
'willie holding rally beto exactly fans furious give',NOT
'days dont people general dont connect people days',OFF
'south official discuss specific measures #tcot #maga #rednationrising',NOT
'tell',NOT
'feel better chasing title',NOT
'referring hillary know bernie supporters bashing hillary clinton actual democrat money democratic party doesnt bash positive message left',OFF
'glad friends supporting rights much supporting',NOT
'asking movie man_shrugging eyes',NOT
'thing democrats lying stalling stop trump done lately #trump #kavanaugh #maga',OFF
'wonder social',NOT
'ending blatant #racism &amp proves #politicslive',NOT
'know whats going happen going listen kelly thanks free speech antifa',NOT
'smart think keeps',OFF
'thats expected violent #kavanaughconfirmation',OFF
'blow hard',NOT
'means twitter maybe game',NOT
'please explain controlled opposition means bernier split rest conservatives even racist want',NOT
'socialists politics stand well done criticism israel anti part problem',NOT
'nina reasons didnt read book long worried character shouldve trusted everyone nina goddess thousand times lovely perfect perfect',NOT
'please vote kavanaugh scotus allegations women disqualify matters #metoo #stopkavanaugh',NOT
'racist racist racist',NOT
'love great president trump steel changing trade &amp everything americans #americafirst #usa #maga &amp #trump &amp grinning_face statue_of_liberty statue_of_liberty statue_of_liberty grinning_face',NOT
'liberals really dont sense',NOT
'fucking ready',NOT
'holy catholic people havent',NOT
'yeah everyday horse care unless example',NOT
'surprise antifa soros americas worst enemy history believes right happen',NOT
'best pretty',NOT
'look involved violent left agenda antifa',NOT
'every come basically stealing ideas vote',NOT
'british people basically racists voters vote conservatives',OFF
'#guncontrol advocates must stop falling electorate love',NOT
'love huge alright used tweet material',NOT
'fuck',OFF
'certainly weird view toward philosophy minorities know black population shares opinion',NOT
'prison system fucked still getting away potentially murder intent hurricane went missing',OFF
'useless attempts right thing never follow',OFF
'#walkaway party',NOT
'grateful trump doesnt white house',OFF
'lying stick facts',NOT
'trump butt',OFF
'dumb dumber president',OFF
'minister attempted charity',NOT
'straight dance talk free industry really quality even artist love thumbs_up',NOT
'clown prison',OFF
'twitter silence alex jones asking twitter jack questions',NOT
'that',OFF
'antiamerican running nothing maga',OFF
'youre represent leftist view similar words fascist fascism ahead &amp read book know either',NOT
'remember somehow centrist never quite seem bring condemn things',NOT
'mean worked control right',OFF
'think last thing trumps mind ryan needs stop shes important thinks',NOT
'principled conservatives',NOT
'dont forget &amp democrat backed #antifa',NOT
'beautiful person teach values kids teaching keep keep going heads stay real red_heart',NOT
'bring antifa criminal campaign',NOT
'didnt watch watch watching 11th stories came together stood shoulder shoulder made proud even issues people playing damn game stand saturday',NOT
'tear made water feelings',NOT
'trump addresses control representing says',NOT
'drinking much shes',OFF
'holder needs prosecuted',NOT
'players women women color',NOT
'tweet window',OFF
'think “she three dont dont know dont',NOT
'wel',NOT
'threat #maga #qanon #wakeupamerica',OFF
'easily content theres need even understand story show picture antifa base level emotional response content requires order',NOT
'looking plain democrats liberals ones cant conversation',NOT
'great news went face_with_tears_of_joy',NOT
'extr',NOT
'please call trump narcissistic sociopath',OFF
'unfortunately america system called racist liberals believe racist minority groups',NOT
'know still wondering career loved',NOT
'always',NOT
'baby',NOT
'persuas',NOT
'thats nothing going vote vote liberals november',NOT
'burt cool dude',NOT
'#maga #trump follow follow back',NOT
'thank finally point okay using happy',NOT
'kind trump time',NOT
'former antifa white house arrest citizen arrest someone explain',NOT
'fuck',OFF
'good loser',OFF
'lets bottom check back make sure enjoying best offer asap',NOT
'record know doug jones personally credible choice wont next election',NOT
'presidents feelings totally opposite feelings theyre liberal',NOT
'literally narrative nazis punch antifa punch sides groups wants deport jews wants prevent comparison benefits',OFF
'many dumb arguments control dumbest common',OFF
'whats going',NOT
'yall need chill really abysmal half abysmal half baseball happens things still needs work power numbers dropped back anytime',NOT
'dude lmao pack',NOT
'thats trump supporters cant even wear without abused meet animals left attack antifa democrat party',NOT
'laughs gotten enough',NOT
'wel',NOT
'first dont even pizza',NOT
'please dont kill antifa hand',OFF
'100% healthy game obviously excuses youre maybe “all sort thing seemed game maybe still pretty good',NOT
'good girl',NOT
'ugly black troll',OFF
'clearly master almost rare candy alone legacy depends keep pieces value game',NOT
'dont believe hype',OFF
'followed maga please follow back',NOT
'reported except says getting worse even type #maga #mega #mbga #mcga #conservatives #patriots #muslims #leftists lose soon',NOT
'liberals still vote theyll claim comments taken context still integrity',NOT
'saved maga',OFF
'bringing honor decency picture thats rich',NOT
'good',NOT
'goddess',NOT
'worst best case best made part asking dead hurts poor thing rest nope suffering dead yeah pretty dead',NOT
'probably imagine snowflakes dont feel safe working might conservatives conservatives century',OFF
'light even last election conservatives split coming tory soon',NOT
'crying_face damn haters reason',OFF
'think canadian liberals actually blame trudeau costs standard push',NOT
'warned everyone josh gordon last months daily basis sure shocked today',NOT
'cant liberals read read',NOT
'thats bitch',OFF
'discuss',NOT
'part collusion dont',OFF
'face_with_tears_of_joy',NOT
'amazing yellow_heart yellow_heart yellow_heart',NOT
'fist pump troops',NOT
'reason illegal values black muslim reason believe illegal values simply result character supporters',OFF
'leftist democrats riot streets antifa',OFF
'thought canada strict control help understand happening',NOT
'dont want following people dont conservatives sickening biased management',NOT
'life',NOT
'important midterms word #democrats want people color believe support know false word spread even need know #maga',NOT
'antifa giving death threats professor ford threatening violence candidate impeached',OFF
'seen listened antifa',NOT
'case antifa little something good kind thing',NOT
'scare little',NOT
'middle africa good bloody luck',NOT
'tory today demanding moved back #cdnpoli',NOT
'seems getting things done',NOT
'added video maga david',NOT
'make allegation days guilty proven innocent liberals mentally',OFF
'straight different thank biden wonder outcome name antifa hill',NOT
'game sucks balls',OFF
'real gorgeous',NOT
'absolutely nail coffin',OFF
'hope gets twitter tell amazing red_heart grinning_face_with_smiling_eyes',NOT
'control tried proven failure people dont vote democrat refuse admit reality control doesnt work',NOT
'liberals states make policy rest america clue california biggest population mean shares values clue hillary',NOT
'doesnt fund antifa',NOT
'dumbass',OFF
'#levistrauss wanting control many wonder heck want freedoms taken away selective freedoms',OFF
'point time dont think pres trump gives sh*t neither',OFF
'conservatives polls vote',NOT
'family country apology taking criminal activities white house pockets father unfit making republic shame family justice',OFF
'poll year found percent black americans said legal immigrants brought year #maga #tcot',NOT
'doubt become national socialist american workers party gone acting #antifa',NOT
'cute',OFF
'chelsea crazy mother',OFF
'time #conservatives sent back australia',NOT
'2015 promised vote back think brexit gone allowed vote referendum',NOT
'metoo movement must extension antifa complete joke movement wasnt selective biden court girls camera',NOT
'awesome thank give humanity hop',NOT
'goob',NOT
'another',NOT
'forgot child',NOT
'#dems wants believe doesnt majority liberals leaders #obama real losers #maga #trump',OFF
'fucking said',NOT
'supposedly smart people didnt think moment audience people voted trump scared hearing speak',NOT
'surprised takes sick woman make type accusations kind find left liberals praying really weak members collins flake pull back support',NOT
'california control direct result white people scared black panthers using right bear arms problem control',OFF
'brazil citizens voted government strict control factor government still referendum everyday murdered effective method self defense',NOT
'claim without truth sins forgive sins john',NOT
'millions permit holding people legally concealed firearms didnt hurt anyone want stronger control idiots face_with_raised_eyebrow wonderful media hype incidents fits agenda',OFF
'hurt control freaks',OFF
'every hysterical tweet',NOT
'always shows wonder best',NOT
'bullshit regulations good keeps conservatives land',OFF
'owner',OFF
'life #maga',OFF
'fuck',OFF
'confirm left wing activist liar whos story changes hard evidence #christineblaseyford innocent proven guilty #confirmkavanaugh #maga #republicans',OFF
'reagan signed first control bill governor',NOT
'really need obvious',NOT
'years conservatives rape liberal',NOT
'assuming going answer #liberal policy plan #wakeupamerica americas future vote republican surrender america morons #maga',OFF
'seriously needs mental health treatment firearms longer danger others waiting control advocates list school shootings buys handguns',NOT
'leftists showing vile',OFF
'drunk crazy',OFF
'fine patriots thank #maga united_states grinning_face two_hearts united_states',NOT
'please shut ontario seeing conservatives stand helping loose never going anywhere completely tune canadian harper oops mean scheer common mistake much',NOT
'alone sexually assaulted fellow student never reported didnt think believed something happened made realize wasnt victim felt made',NOT
'lib',NOT
'another terrorist attack reported',NOT
'dont know',NOT
'money hadnt made smarter',OFF
'makes laugh much',NOT
'folded_hands face_with_tears_of_joy',NOT
'always thought ford level headed guess note ford climate change happens every year',NOT
'yeah need made bullshit protestors antifa time epic',OFF
'unfortunately youre right keep real assault weapon',NOT
'real fire fire fire',NOT
'thank everyone making possible amazing beautiful member army appreciate everything make lives better',NOT
'everything needed still taking small wine wouldnt profile',NOT
'dont move liberals seem make shit large cities somewhere already shit hole dont work',OFF
'',NOT
'tried went nowhere 100% control done',NOT
'killed many rifle time close hour police room actual shooting making control going people killed need smarter',NOT
'individual sense belong winning team constant strong sense side side well regardless think theyre winning',NOT
'know dont know talking dont tweet',NOT
'another free zones dont work brought liberal likely supports stricter control',NOT
'shouldnt pussy grabbing wearing handling food #maga',OFF
'plan environment even conservatives able understand able live planet make money',NOT
'happens tell white liberals dont woke money mouth simple fact life breaks brain',NOT
'antifa doesnt beat change mind know lost cause change fascists mind scare hiding stop spread hateful ideology forcing views others',OFF
'soros root everything anything anti american money hollywood islam antifa illegal',NOT
'conservatives misogyny bigotry always responsible trump',OFF
'truly idiotic thing seen',OFF
'experienced life americans book attention warning america',NOT
'work want control population australian control effect homicides',OFF
'poor baby',NOT
'antifa democrats',NOT
'liberals ruin everything',OFF
'dont forget telling black liberal audience conservatives want back',NOT
'reputation destroyed read shes part antifa',NOT
'thats happens liberal hold good place start control liberals getting gun',OFF
'look happy maga',OFF
'trump racial tactic start thinking',NOT
'introducing sweet sweet baby king always sooo nice never attacks',NOT
'gone bottom first tweet good',NOT
'exactly record basically saying president #gop fine issues',NOT
'clothes taxpayers funded armed protection control kamala harris',NOT
'',OFF
'plenty evidence guilty hill accused hearings arent bench times diff journalist dont call white antifa pick',NOT
'dont understand despite proof economy lied liberals entire life believing told liberal media made bill clinton look good trump',NOT
'oath must testify lifetime appointment stake please right time &amp allow hatch already made mind lying allowed question kind questions invite lawsuit',NOT
'yall best',NOT
'joke alright racist phony right along racist phony thinks follow second account block speak truth care less followers party care',OFF
'indee',NOT
'little concerned followers slowly become sort right wing antifa excuse horrible english native didnt much sorry sucks grinning_face_with_sweat',NOT
'antifa literally hitler',NOT
'smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes kissing_face kissing_face kissing_face kissing_face kissing_face',NOT
'woman happy',NOT
'noticed conservatives twitter',NOT
'forgotten moment citizens rights citizens dont believe shit goes head',OFF
'thats plenty women make shit tons money looking good',NOT
'watching show discovered humans thought trump getting elected proof enough #maga',NOT
'hope watch liberals always',NOT
'looked work history listed board leading services comes medicare local hell',OFF
'look mirror',NOT
'sure purple_heart',NOT
'send party promised help families maybe remind',NOT
'families border fact picture children liberals using show evil trump actually taken obama president',NOT
'antifa people',NOT
'peoples vote june 2016 people rejected worship stand majority youre people &amp 2017 &amp supporting soros undermining democracy instead',NOT
'cause bitches playing loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face aint give gift nothing',OFF
'free bird return muslim',NOT
'speaks phone text angry phone telling type brother able tell even yelling woman_facepalming_light_skin_tone',NOT
'melting snow',NOT
'whos victim remains seen liberals turned kavanaughs hearings circus first minute started',NOT
'coming threatened kick dont balls',OFF
'youre shocked hear liberals want power federal level',NOT
'best smiling_face_with_hearteyes',NOT
'liberals cant without lying',NOT
'fast furious holder',NOT
'getting scared ugly',OFF
'shows progressive stand watch right left know right start youve never seen show check youtube red_heart united_states #maga',NOT
'supreme court worthy',NOT
'hop',NOT
'',NOT
'bitch',OFF
'&amp &amp &amp &amp poverty &amp climate change &amp global warming &amp &amp bullying &amp body &amp police brutality &amp feminism &amp control &amp marches &amp protests',OFF
'cant prove either conservatives surely love idea bashing cant help think theyre former continue bashing boost',NOT
'republican picture sorry young republicans young conservatives born years',NOT
'liberals cant meme sense humor knowledge philosophy',NOT
'stun',NOT
'bitch right getting',OFF
'focus proud boys know youre real journalist kelly focus ones violence #antifa want story focus journalists constantly ignoring antifas attacks people',NOT
'hahaha going make',OFF
'called educating liberals',NOT
'#maga #trump2020 #tcot #ccot #americafirst #patriots #brettkavanaugh bill clinton make pattern behavior clear piece painful piece indeed',OFF
'#maga people growth means literally nothing higher income white individuals billions goes companies government jobs create labour pays less living wage lmao',OFF
'energy people scream shout youre #kavanaugh hearing',NOT
'watch hold interview shit lmao nigga suspicious',OFF
'bitch built beat wants',OFF
'trash',NOT
'pathet',OFF
'thinker think religion aggressive thought deeply think grinning_face grinning_face grinning_face grinning_face',NOT
'shouldve played saint instead london saint ok_hand',NOT
'thank goodness aggressive love',NOT
'empty broke logic',NOT
'angel much love',NOT
'asking arrest liberals months offense',NOT
'left',NOT
'must talking hateful conservatives',OFF
'thats correct #maga',OFF
'show single case antifa actually murdered someone right murdered someone charlottesville hypocrisy works ways',NOT
'bobby thats exactly sure',NOT
'white people thank jesus republicans &amp liberals christians many thank jesus &amp many former emmys thank jesus daily country &amp ability turn',NOT
'skip realize saying become professional kind shitting sports many skip year',NOT
'leftist wrong liberal colleges students come corrupt woman determined destroy good judge wants liberals courts',OFF
'feeling touch first smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes smiling_face_with_hearteyes',NOT
'great mark great candace great owens together team sent liberals whole block liberal voters heads explode pants great team',OFF
'speed',OFF
'people across parties condemn action look bill davis brian even conservatives think horrible decision',NOT
'wasnt scare tactics really meant said trump easily pull good maga republicans easily steal enough votes bring fresh breath politics think',OFF
'liberal support liberal spent million liberals elected office',OFF
'notice everyone tweet index_pointing_up index_pointing_up might think referring face_with_tears_of_joy face_with_tears_of_joy comrade everyone',NOT
'vicious bitter access decent healthcare think criminals free reveals pretty mind',OFF
'fuck game watching',OFF
'grown loudly_crying_face loudly_crying_face',NOT
'&amp threat',NOT
'didnt kavanaugh need terms guilty people ones need terms clue theyre worried going make terrible theyre trying manage concern',NOT
'dont perpetuate going talk must puerto ricans difficult',NOT
'anonymous message #antifa #qanon #thegreatawakening #resistance',NOT
'antifa place society',NOT
'votes home west texas inspiring',NOT
'liberals trashy',OFF
'grap',NOT
'hello somebody need danger watching',NOT
'never show much intelligence',NOT
'kept kept coming back stupid answers finally gave dont think policies stupid please',OFF
'anything fucked head',OFF
'sure thinking',NOT
'looks #qanon #maga #greatawakening crocodile',NOT
'heres back fast furious proof looking influence control government fake sandy hook isnt drug somewhat similar',NOT
'need know empty inside',OFF
'dear sorry well sending prayers red_heart smiling_face_with_smiling_eyes rose',NOT
'sister sweetest person alive passed woman saint even song written moms saint written children course',NOT
'liberals mentally unstable',OFF
'search home racist drug test murder victim',OFF
'line know conservatives think',NOT
'dude trolling rock beaming_face_with_smiling_eyes hurry govt stat',NOT
'shes said always praying even cant anything sure heart broken well event',NOT
'active threat shot driving need control idea threat exists excuse carry scary',NOT
'lif',NOT
'hurricane donations found puerto rico',NOT
'followed #maga #patriots look forward following back thank &amp wonderful united_states folded_hands two_hearts',NOT
'suicide rate america similar countries strict jumping common method',NOT
'joining antifa',NOT
'apparently durbin',NOT
'canada regulated firearms last century laws probably contributed canada many handguns circulation',NOT
'heard making',OFF
'anita hill clarence thomas hope confirmation process result #maga smiling_face_with_smiling_eyes thumbs_up_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone folded_hands_mediumlight_skin_tone united_states puerto_rico',NOT
'dont',NOT
'time teacher career parent tell he/she praying always consider clapping_hands_light_skin_tone clapping_hands_light_skin_tone',NOT
'welcome',NOT
'funny watching liberals sudden transparent problems truth issues people trouble',NOT
'brown',NOT
'ladies always make know mean',NOT
'#thursdaythoughts fuck liberals forever',OFF
'scalp custer',NOT
'proven control laws intended disarm abiding citizens criminal care laws',OFF
'nothing abusive done anyone including women people country putting horrible going easy says agree',NOT
'thinks give fuck',OFF
'fake vote wants sympathy',OFF
'antifa &amp respect',NOT
'different women american bomb',OFF
'banning guns still legal control keep watch firearms',NOT
'dont anything trump conservatives refuse trade business',NOT
'signing cute',NOT
'russian agent disgrace creep going prison trump sold america russians time time years crimes scumbag',OFF
'tactics',NOT
'ridiculous bullshit',OFF
'country conservatives buys',NOT
'shouldnt surprised pigs worked neonazis antifa protestors local coverage shit didnt cover coverage',OFF
'control anyone',NOT
'reading first',NOT
'beginning believe liberals none people believe rule evidence crime',NOT
'americans lazy vote liberal many liberals vote throw vote away party losers next question',OFF
'cant wait maga across chest picture mueller',NOT
'sure doesnt call private security bull though funny liberals love',OFF
'wonder many children',OFF
'amazing admire much always able raise &amp hatred show grace',NOT
'england views control stopped',OFF
'antifa party &amp sudden expect believe care anyone besides nope',OFF
'antifa caught guard getting confronted last person',NOT
'ouch',OFF
'wonder calling fired making faces',OFF
'awesome kavanaugh didnt control dads hand sorry killed future judges fault happened white people cities silly',OFF
'john spirit pedo heres photo rather situation #maga #qanon #drainthedeepstate #draintheswamp',OFF
'terrified happen public knows youve #drainthedeepstate #maga #trump2020 #kag',NOT
'love pisses liberals',OFF
'still pretty awesome',NOT
'correct',OFF
'turned speech sounded liberals becoming another nasty party personal attacks individuals',OFF
'crap and/or #hollywood #politics #police #muslims used weapon missed anything maybe #mbga #conservatives',NOT
'thinks talk expect everyone support treat',NOT
'another negative democrat refuses disappear',OFF
'elected please explain still promoting ideas already rejected weve months nothing appears moving blind leading blind #brexitshambles',OFF
'getting paris climate agreement voters wanted obama committed towards agreement keep paying third world countries going broke help places illegals either',NOT
'gonna assholes',NOT
'cant killed hope lady witch known witch supreme',OFF
'mike country living country constitutional republic democracy',NOT
'election trump dick dick leftists prove russian puppet trump dick conservatives trump',OFF
'problem many control',NOT
'interesting demoncraps arent even enough create originally republicans liberals always liberals scum earth prove daily lies',OFF
'believe president',NOT
'article going relevant #maga',NOT
'nee',NOT
'face_with_tears_of_joy face_with_tears_of_joy',NOT
'dont think clue leadership liberals year children told intellectual goat please stop tweeting making look quite fool',NOT
'control leftist rather child responsible parent locked front door didnt involved grab couldnt shes lucky didnt find first',NOT
'someone please show front center tonight unless today #maga',NOT
'want much literally tell obey',OFF
'sorry hear loss friend',NOT
'famous people funny black race baiter',NOT
'dead well good must suck never mind cant even think move ahead alone twitter handle even face_with_rolling_eyes face_with_rolling_eyes',OFF
'funny conservatives didnt theres sure didnt mind liberal wheres',NOT
'decide youre paid shill around youll used',OFF
'anyone want vote democrat wants open borders control',NOT
'full blown temper tantrum manafort',NOT
'trump sick toxic mean',OFF
'voters know right side issue control rights answer help whether wins reelection',OFF
'ordinary criminal #maga #maga2020',OFF
'didnt watch dont care #maga',NOT
'full',OFF
'wait conservatives crying safe sudden liberal elite college',NOT
'hell boycott much',OFF
'respect constitution need office #votedemsout #votered2018 #therainmakers #qanon #maga #wwg1wga',NOT
'antiantifa balls',OFF
'believe correct wise red_heart red_heart',NOT
'going hardcore bitch',OFF
'hope right',NOT
'',NOT
'dont stand #remain surrender',NOT
'used monkey heart played wife hell',OFF
'yeah think saying addiction life long battle regardless josh keep demons every',NOT
'words speaking behalf cant people make feel people better',NOT
'think didnt called trying make bully grinning_squinting_face',OFF
'cut',NOT
'disgusting disgusting support breaking union united_kingdom',OFF
'almost years something changed control went backing control americas powerful lobby group',NOT
'hopefully voters ended well midterms',OFF
'telling public theres magic money tree disaster means crisis competing',NOT
'absolutely right',NOT
'thought said numbers someone lied',NOT
'pitiful reason economy office president trump phone regulations legacy knows democrats message smiling_face_with_sunglasses vote republican',NOT
'never color face_with_raised_eyebrow public safety concern control assault rifles',NOT
'rich fans follow first hardly',NOT
'fund raising dinner stories ripping union pieces personal gain light moment many #brexit',NOT
'antifa types might even show sort',NOT
'2018 charts overall fuck cardi ways catch',OFF
'think missed conference anti muslim vets know disagree control seems',OFF
'look racist white liberals freaking said white privileged',OFF
'flick thru evening feed still boss',OFF
'fact much',NOT
'really liberals everything',OFF
'lies lies antifa democrat',NOT
'cant lump small liberal conservatives right',NOT
'never thought left actually admitting want shut free speech unless least admitting facist create facist',OFF
'lmao knows face_with_tears_of_joy thats trying hard expose shits cant never relate anyway',OFF
'bullshit',OFF
'looking free ride american taxpayer liberals looking votes need bring people bottom support',NOT
'bono gone dark side',NOT
'feel pretty fucked started fine',OFF
'whats',NOT
'definitely better previous administration still believe sane people vote head many closet republicans chips #voteredtosaveamerica ignore #kag2018 #maga united_states',NOT
'excellent idea intelligent',NOT
'aw',OFF
'dont know anything although believe democrats fund always think dems main terror group days antifa',OFF
'liberal leona decision cross floor &amp join conservatives seem betrayal supporters voted legal imagine decided cross floor &amp become liberal thinking_face face_with_tears_of_joy',NOT
'modern conservatives arent bright wanted slavery principles modern conservative principles principles test time',NOT
'absolutely useless everyone knows except media',OFF
'make sure elected senate america lets #maga together',NOT
'anyone care says',OFF
'chance hell start taking losing whatever identify today #maga tired #winning november #redwaverising2018 cant stop',OFF
'youre asking liberals reason logic look people suffering collective almost hour educated elite crazy soldiers likely beyond help',NOT
'guess knows much watching woman_shrugging great night brett',NOT
'hope serves liberals feel must hope theres must morals',NOT
'hope voters wont forget made lack leadership left voted leave rest',NOT
'hopefully',OFF
'think higher portion',NOT
