@relation Train
@attribute word_tokenize string
@attribute subtask_a {NOT,OFF}
@data
'nativ american',OFF
'home your drunk # maga # trump2020 oncoming_fist united_st oncoming_fist',OFF
'amazon investig chines employe sell intern data look edg competit # amazon # maga # kag # china # tcot',NOT
'someon piec shit face_with_tears_of_joy',OFF
'obama want liber & amp illeg move state',NOT
'liber',OFF
'tough shit',OFF
'liter talk mass shoot propaganda use divid major issu control terror',OFF
'icecream ',NOT
'canada doesnt need anoth alreadi enough # # liber great countri # #',OFF
'fault support control',NOT
'what differ # kavanaugh admit grope year girl year go # confirm # # # # redwav # # trumptrain # maga',NOT
'lie corrupt traitor nobodi want hear anymor lie # deepstatecorrupt',OFF
'scare everi american play warp',NOT
'boarder',NOT
'king tast',NOT
'# maga musical_not sing listen heart_suit love youv never hurt vote watch hearnoevil_monkey dont listen liber dirt',NOT
'time right hous respond concern canadian four five canadian support stronger control good reason ” # guncontrol # cdnpoli #',NOT
'besid mayb hand favorit good person show face_with_tears_of_joy',NOT
'control kid ask',OFF
'throw bullshit flag nonsens # # kavanaugh # maga #',OFF
'correct',NOT
'kind conserv wan na associ everyon left communist antifa member',OFF
'fuck go peopl there men room women room pick stick thinking_fac',OFF
'willi hold ralli beto exactli fan furiou give specif',NOT
'day dont peopl gener dont connect peopl day annoy',OFF
'south korean offici “ leader discuss specif measur ” # tcot # maga # rednationris',NOT
'tell',NOT
'feel better chase titl',NOT
'refer hillari know berni support bash hillari clinton actual democrat rais money democrat parti doesnt bash posit messag divid left',OFF
'glad friend support right much support',NOT
'ask movi man_shrug eye',NOT
'thing democrat lie stall stop trump # presid done late # trump # kavanaugh # maga #',OFF
'wonder social',NOT
'updat end blatant # racism # & amp # prove # # politicsl #',NOT
'know what go happen go listen kelli thank free speech antifa',NOT
'smart think sentenc keep',OFF
'that expect violent # kavanaughconfirm # woke',OFF
'blow hard',NOT
'mean twitter mayb game',NOT
'pleas explain control opposit mean bernier escap split rest conserv even racist want',NOT
'socialist polit stand well done critic israel anti semit part problem',NOT
'nina reason didnt read book long worri charact shouldv trust everyon nina goddess thousand time love perfect perfect',NOT
'pleas vote kavanaugh scotu alleg women financi disqualifi # matter # metoo # # # stopkavanaugh',NOT
'racist racist racist repeat',NOT
'love great presid trump steel chang trade & amp everyth american # americafirst # usa # maga # leadership & amp # respect # economi # job # # god # bless # trump & amp # grinning_fac statue_of_liberti statue_of_liberti statue_of_liberti grinning_fac',NOT
'liber realli dont sens',NOT
'fuck readi',NOT
'holi cathol peopl havent awaken # # lunat',NOT
'yeah everyday hors care unless donat exampl',NOT
'surpris antifa soro america worst enemi histori believ with right happen',NOT
'best pretti',NOT
'conflict look # soro involv violent left agenda antifa',NOT
'announc everi come basic steal labour idea vote',NOT
'british peopl basic racist voter vote conserv coincid',OFF
'# guncontrol advoc must stop fall assur elector love horrif',NOT
'love huge alright use tweet promot materi',NOT
'fuck',OFF
'certainli weird view toward philosophi abort minor know black popul suffer share opinion',NOT
'prison system fuck still get away potenti murder intent prison hurrican went miss',OFF
'useless attempt right thing never follow',OFF
'# walkaway parti poison',NOT
'grate trump doesnt white hous',OFF
'lie stick fact',NOT
'trump kick butt',OFF
'dumb dumber presid',OFF
'# minist attempt expens chariti donat # #',NOT
'straight danc talk free industri realli qualiti even gather artist love # thumbs_up',NOT
'clown prison',OFF
'twitter silenc alex jone ask twitter jack question',NOT
'that',OFF
'antiamerican run noth maga',OFF
'your repres leftist tool & view % marxist & similar word fascist fascism ahead & amp read book know either',NOT
'rememb somehow centrist never quit seem bring condemn thing',NOT
'mean work control right',OFF
'think last thing trump mind ryan need stop she import think',NOT
'principl conserv #',NOT
'dont forget & amp democrat back # antifa',NOT
'beauti person teach valu kid teach keep keep go head stay real red_heart',NOT
'bring antifa crimin campaign',NOT
'didnt watch watch watch 11th stori came togeth stood shoulder shoulder made proud even issu peopl play damn game stand saturday',NOT
'tear made water feel',NOT
'trump address control repres say',NOT
'drink much koolaid she',OFF
'holder need prosecut',NOT
'player women women color',NOT
'institut tweet behav window',OFF
'peopl ” how think “ she three kid ” dont dont know dont',NOT
'well',NOT
'threat # maga # qanon # wakeupamerica',OFF
'easili content there need nuanc even understand stori show pictur antifa base level emot respons content requir order profit',NOT
'look plain democrat liber one cant convers',NOT
'great news went face_with_tears_of_joy',NOT
'extra',NOT
'pleas call trump narcissist sociopath',OFF
'unfortun america system call racist liber believ racist minor group',NOT
'know still wonder career love',NOT
'alway',NOT
'babi',NOT
'persuas ',NOT
'that noth go vote vote liber novemb',NOT
'burt cool dude',NOT
'# maga # trump follow follow back',NOT
'thank final point okay use heat happi',NOT
'kind trump time',NOT
'former antifa white hous arrest citizen arrest someon explain',NOT
